,Currency,Rate
0,USD,0.99897836
1,GBP,0.84601166
2,AUD,1.43513481
3,CHF,0.96324589
4,CAD,1.29402849
5,JPY,136.82597995
6,BHD,0.37490655
7,EGP,19.15368426
8,HRK,7.50528875
9,MRO,37.67627594
10,COP,4349.8099
11,BBD,1.9947208
12,DJF,175.87725539
13,HNL,24.30369454
14,KES,118.4376372
15,HKD,7.83879296
16,MAD,10.33125652
17,MYR,4.45996245
18,MDL,19.33624593
19,PAB,0.99311291
20,FJD,2.18077119
21,CDF,2028.07989964
22,MZN,63.3064193
23,UGX,3760.23061488
24,KWD,0.30595856
25,THB,36.02540089
26,XOF,655.815506
27,IRR,41924.0727268
28,BOB,6.84710667
29,LRD,151.49044107
30,SDG,557.84127122
31,TOP,2.31266195
32,VUV,115.71210907
33,OMR,0.38302395
34,ILS,3.25070661
35,NGN,418.94272694
36,UZS,10887.7023329
37,ETB,52.10605281
38,TTD,6.7152681
39,PGK,3.48189955
40,BWP,12.66466561
41,SEK,10.57298676
42,SGD,1.38956736
43,HUF,409.87310346
44,BYN,2.80549739
45,TJS,10.23886939
46,GMD,54.31444221
47,CVE,110.01509989
48,ZMW,15.94368126
49,KHR,4052.69299603
50,DOP,53.97193979
51,CNY,6.85541433
52,ISK,140.07918809
53,LYD,4.8696935
54,CLP,894.92328838
55,BSD,0.98724746
56,XPF,118.51164222
57,ALL,116.02639796
58,SCR,12.92355085
59,ANG,1.78433637
60,LBP,1505.3416924
61,MXN,19.90481347
62,KZT,472.62566467
63,HTG,123.04453177
64,BND,1.37694587
65,KMF,490.60018679
66,LSL,16.79054818
67,TZS,2304.00913769
68,JOD,0.70631135
69,PHP,56.00812744
70,XAF,656.07921241
71,AMD,406.32526924
72,UYU,40.14216334
73,JMD,149.10851589
74,SSP,637.23300704
75,MRU,37.21860915
76,MNT,3150.59854177
77,NZD,1.61206815
78,TRY,18.15669452
79,VND,23368.23665009
80,KGS,82.75655937
81,MGA,4155.69746307
82,SRD,24.19209595
83,GHS,9.78063285
84,CUP,0.98724746
85,NOK,9.66963714
86,QAR,3.65744919
87,CZK,24.61555719
88,RUB,62.36805293
89,RSD,115.17211517
90,NIO,35.49139824
91,SBD,8.06952145
92,MWK,1009.72121068
93,YER,247.17983659
94,VES,6.16772318
95,BDT,94.61067402
96,RON,4.86775675
97,DZD,144.35494817
98,ARS,136.51538348
99,STN,24.56813889
100,BIF,2036.79158306
101,MMK,2075.12070256
102,MUR,43.62144255
103,AED,3.66660068
104,IDR,14794.48224192
105,KRW,1331.80900796
106,UAH,36.65286161
107,CRC,637.39007677
108,BZD,1.99136987
109,GNF,8528.1489305
110,SZL,16.79054818
111,SOS,561.67386939
112,INR,79.78956254
113,NPR,126.8577114
114,ZAR,16.79858539
115,AZN,1.69265534
116,PYG,6823.09378708
117,GYD,206.68893271
118,RWF,1018.83343476
119,ERN,14.89211936
120,WST,2.66011265
121,BRL,5.11461698
122,DKK,7.43160828
123,LKR,358.77453179
124,TND,3.15498367
125,TWD,30.08403223
126,IQD,1457.0167317
127,AFN,87.22683601
128,NAD,16.80244793
129,SYP,2495.60568703
130,MOP,7.98795621
131,BAM,1.94633068
132,PKR,233.81754975
133,BGN,1.95367753
134,PEN,3.8358486
135,TMT,3.49212482
136,SVC,8.64949071
137,XCD,2.67995863
138,LAK,15100.79874318
139,GTQ,7.64412511
140,SAR,3.75121377
141,PLN,4.74439835
142,GIP,0.84116248
143,GEL,2.75663463
144,MKD,61.0817077
145,AWG,1.78855977
146,AOA,423.36167905
147,MVR,15.27593687
